m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
2500,2500,32,0,20,0.000000,0.022041,0.000000,0.000000,0.008977,0.000000
2500,2500,32,0,4,0.000000,0.021686,0.000000,0.000000,0.031329,0.000000
2500,2500,32,0,8,0.000000,0.016922,0.000000,0.000000,0.019762,0.000000
2500,2500,32,0,12,0.000000,0.019331,0.000000,0.000000,0.014728,0.000000
2500,2500,32,0,16,0.000000,0.024852,0.000000,0.000000,0.011160,0.000000
2500,2500,32,0,20,0.000000,0.021372,0.000000,0.000000,0.008977,0.000000
2500,2500,64,0,4,0.000000,0.030173,0.000000,0.000000,0.047770,0.053951
2500,2500,64,0,8,0.000000,0.031088,0.000000,0.000000,0.031748,0.058164
2500,2500,64,0,12,0.000000,0.019935,0.000000,0.000000,0.022529,0.052753
2500,2500,64,0,16,0.000000,0.020081,0.000000,0.000000,0.019262,0.055686
2500,2500,64,0,20,0.000000,0.020596,0.000000,0.000000,0.016884,0.054153
2500,2500,64,0,4,0.000000,0.020436,0.000000,0.000000,0.044966,0.000000
2500,2500,64,0,8,0.000000,0.022583,0.000000,0.000000,0.028826,0.000000
2500,2500,64,0,12,0.000000,0.022391,0.000000,0.000000,0.023791,0.000000
2500,2500,64,0,16,0.000000,0.021811,0.000000,0.000000,0.019021,0.000000
2500,2500,64,0,20,0.000000,0.022153,0.000000,0.000000,0.017649,0.000000
2500,2500,64,0,4,0.000000,0.020527,0.000000,0.000000,0.047624,0.000000
2500,2500,64,0,8,0.000000,0.032889,0.000000,0.000000,0.029302,0.000000
2500,2500,64,0,12,0.000000,0.020313,0.000000,0.000000,0.022867,0.000000
2500,2500,64,0,16,0.000000,0.032869,0.000000,0.000000,0.018938,0.000000
2500,2500,64,0,20,0.000000,0.022273,0.000000,0.000000,0.016124,0.000000
2500,2500,64,0,4,0.000000,0.024262,0.000000,0.000000,0.046867,0.000000
2500,2500,64,0,8,0.000000,0.020014,0.000000,0.000000,0.031537,0.000000
2500,2500,64,0,12,0.000000,0.030795,0.000000,0.000000,0.022674,0.000000
2500,2500,64,0,16,0.000000,0.032966,0.000000,0.000000,0.018735,0.000000
2500,2500,64,0,20,0.000000,0.022572,0.000000,0.000000,0.016730,0.000000
2500,2500,128,0,4,0.000000,0.029918,0.000000,0.000000,0.078572,0.133198
2500,2500,128,0,8,0.000000,0.038432,0.000000,0.000000,0.045481,0.134736
2500,2500,128,0,12,0.000000,0.026550,0.000000,0.000000,0.034403,0.139228
2500,2500,128,0,16,0.000000,0.026819,0.000000,0.000000,0.030356,0.138769
2500,2500,128,0,20,0.000000,0.038170,0.000000,0.000000,0.024963,0.137003
2500,2500,128,0,4,0.000000,0.039685,0.000000,0.000000,0.076328,0.000000
2500,2500,128,0,8,0.000000,0.040939,0.000000,0.000000,0.046502,0.000000
2500,2500,128,0,12,0.000000,0.040645,0.000000,0.000000,0.034868,0.000000
2500,2500,128,0,16,0.000000,0.041652,0.000000,0.000000,0.029157,0.000000
2500,2500,128,0,20,0.000000,0.028453,0.000000,0.000000,0.026008,0.000000
2500,2500,128,0,4,0.000000,0.028295,0.000000,0.000000,0.079744,0.000000
