m,n,k,processes,threads,error,generation_time,first_communication_time,second_communication_time,parallel_time,serial_time
2500,5000,32,4,0,0.000000,0.017214,0.000318,0.049965,0.023627,0.000000
2500,5000,32,8,0,0.000000,0.024863,0.000436,0.099669,0.012588,0.000000
2500,5000,32,12,0,0.000000,0.042967,0.000487,0.178147,0.018368,0.000000
2500,5000,32,16,0,0.000000,0.054999,0.000504,0.247584,0.013877,0.000000
2500,5000,32,20,0,0.000000,0.073253,0.000892,0.326587,0.011455,0.000000
2500,5000,32,4,0,0.000000,0.030486,0.000191,0.066891,0.048275,0.000000
2500,5000,32,8,0,0.000000,0.025164,0.000713,0.100575,0.012711,0.000000
2500,5000,32,12,0,0.000000,0.042401,0.000631,0.180138,0.018269,0.000000
2500,5000,32,16,0,0.000000,0.055988,0.000721,0.246626,0.013859,0.000000
2500,5000,32,20,0,0.000000,0.073516,0.000679,0.306231,0.011468,0.000000
2500,5000,64,4,0,0.000000,0.024660,0.000430,0.050913,0.047517,0.155000
2500,5000,64,8,0,0.000000,0.027338,0.000601,0.098699,0.024852,0.157017
2500,5000,64,12,0,0.000000,0.045758,0.000463,0.171146,0.036419,0.167132
2500,5000,64,16,0,0.000000,0.059157,0.000861,0.245031,0.027341,0.168245
2500,5000,64,20,0,0.000000,0.078137,0.000990,0.312095,0.022386,0.167661
2500,5000,64,4,0,0.000000,0.023051,0.000331,0.049217,0.047066,0.000000
2500,5000,64,8,0,0.000000,0.027499,0.000541,0.098969,0.024903,0.000000
2500,5000,64,12,0,0.000000,0.044953,0.000492,0.175129,0.036887,0.000000
2500,5000,64,16,0,0.000000,0.060170,0.000701,0.254774,0.027431,0.000000
2500,5000,64,20,0,0.000000,0.075617,0.001025,0.322849,0.022309,0.000000
2500,5000,64,4,0,0.000000,0.019647,0.000560,0.051240,0.046758,0.000000
2500,5000,64,8,0,0.000000,0.029253,0.000471,0.110499,0.024806,0.000000
2500,5000,64,12,0,0.000000,0.047026,0.000343,0.150058,0.036308,0.000000
2500,5000,64,16,0,0.000000,0.061015,0.000506,0.254923,0.027383,0.000000
2500,5000,64,20,0,0.000000,0.076358,0.000732,0.305295,0.022332,0.000000
2500,5000,64,4,0,0.000000,0.019814,0.000585,0.051058,0.046627,0.000000
2500,5000,64,8,0,0.000000,0.027706,0.000641,0.098344,0.024937,0.000000
2500,5000,64,12,0,0.000000,0.045566,0.000692,0.171761,0.036264,0.000000
2500,5000,64,16,0,0.000000,0.058580,0.000634,0.245708,0.027363,0.000000
2500,5000,64,20,0,0.000000,0.076370,0.000547,0.308545,0.022290,0.000000
2500,5000,128,4,0,0.000000,0.026532,0.000611,0.067853,0.094111,0.373516
2500,5000,128,8,0,0.000000,0.042836,0.000652,0.117110,0.100187,0.378954
2500,5000,128,12,0,0.000000,0.051972,0.000600,0.163787,0.072172,0.370730
2500,5000,128,16,0,0.000000,0.062358,0.000615,0.246406,0.054407,0.373619
2500,5000,128,20,0,0.000000,0.078543,0.000965,0.301516,0.045758,0.381294
2500,5000,128,4,0,0.000000,0.029709,0.000391,0.051676,0.094531,0.000000
2500,5000,128,8,0,0.000000,0.031942,0.000492,0.114277,0.049763,0.000000
2500,5000,128,12,0,0.000000,0.049320,0.000536,0.170286,0.072191,0.000000
2500,5000,128,16,0,0.000000,0.061109,0.000657,0.248180,0.054558,0.000000
2500,5000,128,20,0,0.000000,0.080123,0.000571,0.313070,0.044349,0.000000
2500,5000,128,4,0,0.000000,0.025110,0.000346,0.063718,0.094023,0.000000
2500,5000,128,8,0,0.000000,0.032506,0.000529,0.099523,0.049870,0.000000
2500,5000,128,12,0,0.000000,0.049483,0.000693,0.160415,0.072188,0.000000
2500,5000,128,16,0,0.000000,0.061076,0.000656,0.247045,0.054458,0.000000
2500,5000,128,20,0,0.000000,0.078409,0.000888,0.305041,0.044380,0.000000
2500,5000,128,4,0,0.000000,0.027436,0.000579,0.060901,0.094426,0.000000
2500,5000,128,8,0,0.000000,0.032403,0.000498,0.115860,0.050067,0.000000
2500,5000,128,12,0,0.000000,0.050210,0.000496,0.170085,0.072257,0.000000
2500,5000,128,16,0,0.000000,0.061770,0.000480,0.250400,0.054445,0.000000
2500,5000,128,20,0,0.000000,0.078702,0.000697,0.325129,0.045932,0.000000
2500,5000,156,4,0,0.000000,0.028435,0.000343,0.076056,0.122319,0.450694
2500,5000,156,8,0,0.000000,0.034129,0.000580,0.120994,0.064579,0.451782
2500,5000,156,12,0,0.000000,0.053852,0.000547,0.170767,0.094083,0.453548
2500,5000,156,16,0,0.000000,0.063516,0.000479,0.250349,0.071278,0.454663
2500,5000,156,20,0,0.000000,0.081065,0.000954,0.305873,0.057692,0.450947
2500,5000,156,4,0,0.000000,0.028967,0.000400,0.075998,0.122711,0.000000
2500,5000,156,8,0,0.000000,0.034298,0.000547,0.122939,0.064632,0.000000
2500,5000,156,12,0,0.000000,0.052231,0.000635,0.193579,0.092662,0.000000
2500,5000,156,16,0,0.000000,0.063592,0.000628,0.248049,0.070862,0.000000
2500,5000,156,20,0,0.000000,0.081311,0.000796,0.300935,0.057886,0.000000
2500,5000,156,4,0,0.000000,0.042810,0.000553,0.071153,0.203296,0.000000
